CustomerKey,ModelName,ImplictRating
15777,Sport-100,1
13265,Sport-100,1
18443,Sport-100,1
14521,Sport-100,1
16482,Sport-100,1
16636,Sport-100,1
13970,Sport-100,1
17892,Sport-100,1
29137,Sport-100,1
27881,Sport-100,1
22904,Sport-100,1
26459,Sport-100,1
22738,Sport-100,1
15599,Sport-100,1
11831,Sport-100,1
17714,Sport-100,1
15048,Sport-100,1
17009,Sport-100,1
25067,Sport-100,1
23106,Sport-100,1
16826,Sport-100,1
12199,Sport-100,1
14160,Sport-100,1
25606,Sport-100,1
15250,Sport-100,1
22389,Sport-100,1
24350,Sport-100,1
20582,Sport-100,1
12738,Sport-100,1
15955,Sport-100,1
12187,Sport-100,1
17365,Sport-100,1
11482,Sport-100,1
13443,Sport-100,1
29315,Sport-100,1
23633,Sport-100,1
21672,Sport-100,1
13982,Sport-100,1
19865,Sport-100,1
15943,Sport-100,1
17904,Sport-100,1
18609,Sport-100,1
12726,Sport-100,1
14153,Sport-100,1
18075,Sport-100,1
23253,Sport-100,1
11641,Sport-100,1
12897,Sport-100,1
24343,Sport-100,1
26257,Sport-100,1
23087,Sport-100,1
15397,Sport-100,1
20575,Sport-100,1
12885,Sport-100,1
12180,Sport-100,1
14141,Sport-100,1
20024,Sport-100,1
15231,Sport-100,1
14680,Sport-100,1
16641,Sport-100,1
15936,Sport-100,1
17346,Sport-100,1
28591,Sport-100,1
26079,Sport-100,1
27335,Sport-100,1
29296,Sport-100,1
11280,Sport-100,1
25742,Sport-100,1
26447,Sport-100,1
13626,Sport-100,1
15587,Sport-100,1
20765,Sport-100,1
13075,Sport-100,1
14331,Sport-100,1
26986,Sport-100,1
25730,Sport-100,1
24521,Sport-100,1
22714,Sport-100,1
12358,Sport-100,1
17536,Sport-100,1
11653,Sport-100,1
25718,Sport-100,1
25060,Sport-100,1
26974,Sport-100,1
23804,Sport-100,1
23975,Sport-100,1
16285,Sport-100,1
14324,Sport-100,1
20912,Sport-100,1
11261,Sport-100,1
25723,Sport-100,1
27684,Sport-100,1
26979,Sport-100,1
23963,Sport-100,1
25219,Sport-100,1
20746,Sport-100,1
11095,Sport-100,1
11800,Sport-100,1
28928,Sport-100,1
25711,Sport-100,1
25207,Sport-100,1
24502,Sport-100,1
14851,Sport-100,1
21990,Sport-100,1
16107,Sport-100,1
16475,Sport-100,1
21653,Sport-100,1
23614,Sport-100,1
13963,Sport-100,1
12707,Sport-100,1
27874,Sport-100,1
26618,Sport-100,1
23602,Sport-100,1
24858,Sport-100,1
13246,Sport-100,1
19129,Sport-100,1
22346,Sport-100,1
20385,Sport-100,1
16617,Sport-100,1
27157,Sport-100,1
26606,Sport-100,1
24692,Sport-100,1
20924,Sport-100,1
14490,Sport-100,1
13785,Sport-100,1
21629,Sport-100,1
11273,Sport-100,1
15212,Sport-100,1
23056,Sport-100,1
16622,Sport-100,1
19839,Sport-100,1
12149,Sport-100,1
11444,Sport-100,1
13405,Sport-100,1
19288,Sport-100,1
26611,Sport-100,1
26060,Sport-100,1
29277,Sport-100,1
16456,Sport-100,1
21634,Sport-100,1
13944,Sport-100,1
17866,Sport-100,1
13239,Sport-100,1
25390,Sport-100,1
19110,Sport-100,1
17149,Sport-100,1
22327,Sport-100,1
14483,Sport-100,1
17854,Sport-100,1
27138,Sport-100,1
28394,Sport-100,1
12339,Sport-100,1
17517,Sport-100,1
13595,Sport-100,1
11083,Sport-100,1
14134,Sport-100,1
23234,Sport-100,1
15390,Sport-100,1
13583,Sport-100,1
27494,Sport-100,1
28750,Sport-100,1
24324,Sport-100,1
26238,Sport-100,1
21812,Sport-100,1
15929,Sport-100,1
13417,Sport-100,1
16788,Sport-100,1
27328,Sport-100,1
29289,Sport-100,1
26777,Sport-100,1
28204,Sport-100,1
23227,Sport-100,1
23932,Sport-100,1
12320,Sport-100,1
11615,Sport-100,1
19459,Sport-100,1
13576,Sport-100,1
16947,Sport-100,1
26231,Sport-100,1
26936,Sport-100,1
23766,Sport-100,1
19998,Sport-100,1
21254,Sport-100,1
17486,Sport-100,1
16781,Sport-100,1
21793,Sport-100,1
15910,Sport-100,1
23754,Sport-100,1
25882,Sport-100,1
23417,Sport-100,1
24673,Sport-100,1
20905,Sport-100,1
18944,Sport-100,1
15727,Sport-100,1
11254,Sport-100,1
13215,Sport-100,1
28382,Sport-100,1
26421,Sport-100,1
27126,Sport-100,1
16266,Sport-100,1
20188,Sport-100,1
23405,Sport-100,1
13754,Sport-100,1
